CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL1171008	648537	CHEMBL1171008	648537		31	473.71	4.89	113.97	0	OC(=O)c1ccccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3	3354677	Ki	=	1.259	nM	8.9	pKi	=	8.9				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	640105	CHEMBL1174375	F	Antagonist activity at human CCR2 expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	51632	CHEMBL1177762	20627722	Bioorg. Med. Chem. Lett.	2010	20	13	3961	449	CHEMBL3308072	CHO
CHEMBL1170828	648579	CHEMBL1170828	648579		33	473.71	4.89	113.97	0	OC(=O)c1cccc(Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1	3354675	Ki	=	1.585	nM	8.8	pKi	=	8.8				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	640105	CHEMBL1174375	F	Antagonist activity at human CCR2 expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	51632	CHEMBL1177762	20627722	Bioorg. Med. Chem. Lett.	2010	20	13	3961	449	CHEMBL3308072	CHO
CHEMBL3417235	1840443	CHEMBL3417235	1840443		15a	549.47	6.77	32.34	2	CC(C)[C@@]1(CC[C@H](C1)N[C@@H]2CCc3cc(Br)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F	15219818	Ki	=	2.4	nM	8.62	Ki	=	2.4	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1473182	CHEMBL3418234	B	Displacement of 0.1 nM [125I]CCL2 from human CCR2 expressing human U2OS cell membrane by scintillation spectrometry	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	91503	CHEMBL3414488	25666912	Eur. J. Med. Chem.	2015	93		121			
CHEMBL1171786	648479	CHEMBL1171786	648479		24	472.73	5.5	101.08	1	OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3	3354684	Ki	=	3.162	nM	8.5	pKi	=	8.5				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	640105	CHEMBL1174375	F	Antagonist activity at human CCR2 expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	51632	CHEMBL1177762	20627722	Bioorg. Med. Chem. Lett.	2010	20	13	3961	449	CHEMBL3308072	CHO
CHEMBL1924023	1267634	CHEMBL1924023	1267634		22	616.48	6.44	96.11	2	Cc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCC4	7946570	Ki	=	8	nM	8.1	Ki	=	8	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	791034	CHEMBL1925695	F	Antagonist activity at human CCR2 receptor expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	60364	CHEMBL1921745	22047688	Bioorg. Med. Chem. Lett.	2011	21	24	7291	449	CHEMBL3308072	CHO
CHEMBL1170725	648612	CHEMBL1170725	648612		37	444.72	4.39	89.56	0	Cc1ncccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3	3354671	Ki	=	10	nM	8	pKi	=	8				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	640105	CHEMBL1174375	F	Antagonist activity at human CCR2 expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	51632	CHEMBL1177762	20627722	Bioorg. Med. Chem. Lett.	2010	20	13	3961	449	CHEMBL3308072	CHO
CHEMBL3417122	1840329	CHEMBL3417122	1840329		19	495.58	5.9	56.13	1	CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(cc23)C#N)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F	15219836	Ki	=	13	nM	7.89	Ki	=	13	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1473182	CHEMBL3418234	B	Displacement of 0.1 nM [125I]CCL2 from human CCR2 expressing human U2OS cell membrane by scintillation spectrometry	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	91503	CHEMBL3414488	25666912	Eur. J. Med. Chem.	2015	93		121			
CHEMBL41275	58224	CHEMBL1178786	652736		4	495.67	4.66	38.33	0	[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4	1255660	Ki	=	21.38	nM	7.67	Log Ki	=	-7.67				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	40354	CHEMBL651928	B	Binding affinity of compound (10 uM) towards T290A receptor variant (mutant CCR2 receptor) using radioligand [125I]MCP-1 in HEK 293 cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070	722	CHEMBL3307715	HEK293
CHEMBL131243	217296	CHEMBL131243	217296		3	480.64	6.02	41.57	1	CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5	1237786	Ki	=	23.99	nM	7.62	Log Ki	=	-7.62				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	40352	CHEMBL651926	B	Binding affinity of compound (10 uM) towards H121F receptor variant (mutant CCR2 receptor) using radioligand [125I]MCP-1 in HEK 293 cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070	722	CHEMBL3307715	HEK293
CHEMBL1924022	1267633	CHEMBL1924022	1267633		21	646.51	6.4	105.35	2	COc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCCC4	7946569	Ki	=	25	nM	7.6	Ki	=	25	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	791034	CHEMBL1925695	F	Antagonist activity at human CCR2 receptor expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	60364	CHEMBL1921745	22047688	Bioorg. Med. Chem. Lett.	2011	21	24	7291	449	CHEMBL3308072	CHO
