CANONICAL_SMILES CMPD_CHEMBLID PCHEMBL_VALUE ASSAY_CHEMBLID ASSAY_TYPE PREF_NAME JOURNAL_YEAR_VOLUME_ISSUE_FIRST_PAGE
OC(=O)c1ccccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1171008 8.9 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
OC(=O)c1cccc(Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL1170828 8.8 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CC(C)[C@@]1(CC[C@H](C1)N[C@@H]2CCc3cc(Br)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417235 8.62 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1171786 8.5 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Cc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCC4 CHEMBL1924023 8.1 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Cc1ncccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1170725 8 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(cc23)C#N)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417122 7.89 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 7.67 CHEMBL651928 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 7.62 CHEMBL651926 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
COc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCCC4 CHEMBL1924022 7.6 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Cn1nnnc1Cc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL2207099 7.6 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
OC(=O)c1cc2cc(O)ccc2n1Cc3ccc(Cl)c(Cl)c3 CHEMBL376981 7.54 CHEMBL863683 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2006_16_14_3735
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6F)C(F)(F)F CHEMBL3650359 7.51 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1ccc(Cn2nnnc2C3CC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL2207080 7.5 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Oc1ccc2[nH]cc([C@@H]3C[C@H]4CC[C@@H](C3)N4C[C@@H]5CC[C@@H](CC5)NC(=O)\C=C\c6ccc(Cl)c(Cl)c6)c2c1 CHEMBL71707 7.4 CHEMBL655697 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
CO[C@@H]1COCC[C@@H]1N(C)[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6C(F)(F)F)C(F)(F)F CHEMBL3650397 7.31 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F CHEMBL3650347 7.22 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(C#N)c(c6)C(F)(F)F CHEMBL3650384 7.18 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 7.16 CHEMBL857784 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Cc1nnnn1Cc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL2207084 7.1 CHEMBL2213075 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1 CHEMBL400698 7.1 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(Cn2nnnc2C3CC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL2207080 7 CHEMBL2213076 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7 CHEMBL857784 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1 CHEMBL400698 6.9 CHEMBL655698 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Oc1ccc(cc1)C2CCC(CC2)N3CCC(CC3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F CHEMBL3359300 6.86 CHEMBL3383568 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2014_24_23_5377
OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccccc3 CHEMBL1169824 6.8 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.68 CHEMBL655691 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.66 CHEMBL857784 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3cccc4nonc34)c1 CHEMBL2207096 6.6 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
OC(=O)c1ccccc1Oc2ccccc2NS(=O)(=O)c3ccc(Cl)cc3 CHEMBL1171758 6.4 CHEMBL1174377 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5C(=O)OC(C)(C)C CHEMBL3650404 6.26 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
